#,Item,Poste, Tax year/Année d'imposition             , Total (Number / Nombre) ,Total (Thousands of Dollars / Milliers de dollars),4999 and under/Moins de 4 999 (Number / Nombre),4999 and under/Moins de 4999 (Thousands /Milliers de dollars),5000 - 9999 (Number / Nombre),5000 - 9999 (Thousands of Dollars / Milliers de dollars),10000 - 14999 (Number / Nombre),10000 - 14999 (Thousands of Dollars / Milliers de dollars),15000 - 19999 (Number / Nombre),15000 - 19999 (Thousands of Dollars / Milliers de dollars),20000 - 24999 (Number / Nombre),20000 - 24999 (Thousands of Dollars / Milliers de dollars),25000 - 29999 (Number / Nombre),25000 - 29999 (Thousands of Dollars / Milliers de dollars),30000 - 34999 (Number / Nombre),30000 - 34999 (Thousands of Dollars / Milliers de dollars),35000 - 39999 (Number / Nombre),35000 - 39999 (Thousands of Dollars / Milliers de dollars),40000 - 44999 (Number / Nombre),40000 - 44999 (Thousands of Dollars / Milliers de dollars),45000 - 49999 (Number / Nombre),45000 - 49999 (Thousands of Dollars / Milliers de dollars),50000 - 54999 (Number / Nombre),50000 - 54999 (Thousands of Dollars / Milliers de dollars),55000 - 59999 (Number / Nombre),55000 - 59999 (Thousands of Dollars / Milliers de dollars),60000 - 69999 (Number / Nombre),60000 - 69999 (Thousands of Dollars / Milliers de dollars),70000 - 79999 (Number / Nombre),70000 - 79999 (Thousands of Dollars / Milliers de dollars),80000 - 89999 (Number / Nombre),80000 - 89999 (Thousands of Dollars / Milliers de dollars),90000 - 99999 (Number / Nombre),90000 - 99999 (Thousands of Dollars / Milliers de dollars),100000 - 149999 (Number / Nombre),100000 - 149999 (Thousands of Dollars / Milliers de dollars),150000 - 249999 (Number / Nombre),150000 - 249999 (Thousands of Dollars / Milliers de dollars),250000 and over/250000 et plus (Number / Nombre),250000 and over/250000 et plus (Thousands/Milliers de dollars)
35,Business investment loss,Perte au titre d'un placement d'entreprise,2023, 6350,193887,150,4690,60,2124,70,2722,110,2387,140,3600,160,3768,200,6473,210,3865,220,5634,270,7355,290,6348,250,4356,560,10295,440,7871,360,6371,360,10020,1150,35692,760,25585,570,44732
36,Moving expenses,Frais de déménagement,2023, 88890,461095,1910,3369,2490,4178,3210,5958,4160,7802,4990,8942,5740,11248,6330,13694,6080,14826,5530,15137,4830,14867,4400,16027,3980,14813,7080,32425,5820,34043,4740,31370,3810,30334,8880,104426,3690,64773,1200,32863
37,Support payments made,Pension alimentaire payée,2023, 51400,1159027,250,1992,160,646,220,863,290,1352,410,1836,580,3034,690,3922,850,5226,1050,6926,1130,8304,1320,10139,1310,9885,2760,21718,2900,25666,2980,28109,3050,31357,12550,163556,10220,227967,8710,606528
38,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2023, 2222860,10914390,19560,37726,16820,26028,24890,36383,38350,51723,60740,76485,76580,105312,79150,130700,79970,148944,87060,166019,92440,188489,100090,205196,94850,226010,171510,456829,154730,456991,147680,457855,126310,457593,376130,1752838,261660,1859307,214340,4073963
39,Deduction for CPP or QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2023, 2163790,2448157,37000,4260,160540,39246,200280,96308,189890,128985,168090,141312,148150,143542,126310,133725,110500,127428,100210,123965,91960,119008,85540,116485,77750,113015,128310,202697,94170,158447,74490,124000,60910,98102,165320,268172,88330,174413,56060,135046
40,Deduction for CPP or QPP enhanced contributions on employment income,Déduction pour les cotisations bonifiées au RPC ou au RRQ sur un revenu d'emploi,2023, 17584650,7528100,186680,17493,508450,20090,641820,49213,708750,81325,745170,115358,780760,153596,850800,206542,895430,259453,928270,313631,942170,364265,928320,402645,865540,417358,1539990,846297,1294440,763168,1091500,656004,925260,562101,2385960,1463590,982850,603591,382510,232378
41,Deduction for provincial parental insurance plan (PPIP) premiums on self-employment income,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un travail indépendant,2023, 476060,38330,12160,191,27790,658,43800,1628,43500,2064,39250,2133,35180,2091,29670,1939,26190,1855,24120,1762,21780,1630,20250,1508,18020,1389,30070,2480,24290,2200,19790,2041,13280,1687,23130,4548,13010,3374,10800,3151
42,Exploration and development expenses,Frais d'exploration et d'aménagement,2023, 34270,1060789,5120,3995,90,342,70,174,90,143,160,188,210,255,270,377,280,463,340,488,370,650,460,975,470,957,950,2277,980,7384,1080,2468,1130,3729,4500,24391,5300,45092,12390,966441
43,Other employment expenses,Autres dépenses d'emploi,2023, 1467000,5019208,3310,12722,4100,8163,6410,12353,9190,21809,13730,29255,18140,41836,24990,62558,32050,79817,40550,103448,48970,123883,57590,146071,63920,165626,139250,367111,141840,392575,132830,381129,118950,345728,359430,1103861,177860,828832,73890,792431
44,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2023, 26450,439352,100,183,130,349,180,746,230,1155,390,2180,530,3379,710,5318,1050,8736,1290,12363,1620,17462,1870,23191,1860,24678,3760,58703,3400,62941,2790,58110,1910,42012,3550,86293,920,25741,150,5812
